timestamp,pump_id,vibration,temperature,pressure,rpm,flow_rate
2026-08-20 06:00:00,Pump P-101,2.32,57.82,6.21,2948.5,114.85
2026-08-20 06:05:00,Pump P-101,2.18,58.15,6.18,2951.2,115.30
2026-08-20 06:10:00,Pump P-101,2.25,57.94,6.23,2949.8,114.70
2026-08-20 06:15:00,Pump P-101,2.41,58.40,6.19,2952.1,116.10
2026-08-20 06:20:00,Pump P-101,2.15,57.65,6.25,2947.9,114.20
2026-08-20 06:25:00,Pump P-101,2.28,58.22,6.20,2950.4,115.45
2026-08-20 06:30:00,Pump P-101,2.19,57.88,6.22,2953.0,115.10
2026-08-20 06:35:00,Pump P-101,2.35,58.31,6.17,2948.7,114.60
2026-08-20 06:40:00,Pump P-101,2.22,58.05,6.24,2951.8,115.80
2026-08-20 06:45:00,Pump P-101,2.10,57.70,6.19,2949.2,114.95
2026-08-20 06:50:00,Pump P-101,2.27,58.12,6.21,2950.9,115.25
2026-08-20 06:55:00,Pump P-101,2.31,58.28,6.23,2952.4,115.60
2026-08-20 07:00:00,Pump P-101,2.14,57.55,6.18,2948.1,114.40
2026-08-20 07:05:00,Pump P-101,2.29,58.19,6.22,2951.5,115.75
2026-08-20 07:10:00,Pump P-101,2.20,57.91,6.20,2950.0,114.90
2026-08-20 07:15:00,Pump P-101,2.38,58.35,6.24,2953.2,116.05
2026-08-20 07:20:00,Pump P-101,2.16,57.68,6.17,2947.6,114.35
2026-08-20 07:25:00,Pump P-101,2.25,58.09,6.21,2951.1,115.50
2026-08-20 07:30:00,Pump P-101,2.33,58.25,6.19,2949.6,115.00
2026-08-20 07:35:00,Pump P-101,2.12,57.62,6.25,2952.8,115.90
2026-08-20 07:40:00,Pump P-101,2.26,58.14,6.20,2948.9,114.80
2026-08-20 07:45:00,Pump P-101,2.30,58.30,6.22,2950.6,115.35
2026-08-20 07:50:00,Pump P-101,2.17,57.75,6.18,2951.9,114.65
2026-08-20 07:55:00,Pump P-101,2.36,58.38,6.23,2949.3,115.70
2026-08-20 08:00:00,Pump P-101,2.21,58.02,6.21,2952.5,115.15
2026-08-20 08:05:00,Pump P-101,2.11,57.58,6.19,2948.4,114.50
2026-08-20 08:10:00,Pump P-101,2.28,58.18,6.24,2950.8,115.65
2026-08-20 08:15:00,Pump P-101,2.34,58.29,6.17,2953.1,114.90
2026-08-20 08:20:00,Pump P-101,2.15,57.66,6.22,2947.8,115.40
2026-08-20 08:25:00,Pump P-101,2.30,58.21,6.20,2951.4,115.05
2026-08-20 08:30:00,Pump P-101,2.23,57.95,6.25,2949.9,116.20
2026-08-20 08:35:00,Pump P-101,2.39,58.42,6.18,2952.3,114.75
2026-08-20 08:40:00,Pump P-101,2.13,57.60,6.21,2948.0,115.30
2026-08-20 08:45:00,Pump P-101,2.27,58.11,6.23,2950.5,115.85
2026-08-20 08:50:00,Pump P-101,2.32,58.26,6.19,2951.7,114.60
2026-08-20 08:55:00,Pump P-101,2.18,57.72,6.22,2949.1,115.50
2026-08-20 09:00:00,Pump P-101,2.35,58.33,6.20,2953.4,115.10
2026-08-20 09:05:00,Pump P-101,2.20,57.89,6.24,2948.6,114.80
2026-08-20 09:10:00,Pump P-101,2.10,57.54,6.18,2950.2,115.95
2026-08-20 09:15:00,Pump P-101,2.29,58.16,6.21,2952.0,115.20
